time,strain
7.299804687500000000e-02,-6.643855816377479615e-19
7.324218750000000000e-02,-6.603510790403094665e-19
7.348632812500000000e-02,-6.563103074205373399e-19
7.373046875000000000e-02,-6.540986347502618038e-19
7.397460937500000000e-02,-6.507721467736494884e-19
7.421875000000000000e-02,-6.611698249716930207e-19
7.446289062500000000e-02,-6.548382038189051741e-19
7.470703125000000000e-02,-6.418393930070496481e-19
7.495117187500000000e-02,-6.511541621655970934e-19
7.519531250000000000e-02,-6.499343719559816125e-19
7.543945312500000000e-02,-6.441315792210414551e-19
7.568359375000000000e-02,-6.430995310605174383e-19
7.592773437500000000e-02,-6.349776004558964367e-19
7.617187500000000000e-02,-6.451157141377957964e-19
7.641601562500000000e-02,-6.472046293133123828e-19
7.666015625000000000e-02,-6.269270827219127337e-19
7.690429687500000000e-02,-6.315337243339239206e-19
7.714843750000000000e-02,-6.378608350411998732e-19
7.739257812500000000e-02,-6.292024961437942732e-19
7.763671875000000000e-02,-6.253470832859894049e-19
7.788085937500000000e-02,-6.185582426110222340e-19
7.812500000000000000e-02,-6.241831531455454784e-19
7.836914062500000000e-02,-6.304125501919308695e-19
7.861328125000000000e-02,-6.116089781215946457e-19
7.885742187500000000e-02,-6.092319067969205554e-19
7.910156250000000000e-02,-6.195584236500243911e-19
7.934570312500000000e-02,-6.123847099451721560e-19
7.958984375000000000e-02,-6.070151568227260097e-19
7.983398437500000000e-02,-6.000247991586454203e-19
8.007812500000000000e-02,-6.001776477990179297e-19
8.032226562500000000e-02,-6.110527867095430596e-19
8.056640625000000000e-02,-5.953086745793300660e-19
8.081054687500000000e-02,-5.824888728855175864e-19
8.105468750000000000e-02,-5.960697922215881337e-19
8.129882812500000000e-02,-5.926448277896682756e-19
8.154296875000000000e-02,-5.819207641712165560e-19
8.178710937500000000e-02,-5.783069676022475901e-19
8.203125000000000000e-02,-5.738896359551836639e-19
8.227539062500000000e-02,-5.858268355665141600e-19
8.251953125000000000e-02,-5.798505731962854372e-19
8.276367187500000000e-02,-5.550565759608526235e-19
8.300781250000000000e-02,-5.673334248742741877e-19
